Acorn_grouped,Tariff,consumption,total_consumption,percentage,real_tariff,custom_tariff
Adversity,High,150.02764724838204,2924.392957343265,0.05130215037334731,0.672,0.958
Adversity,Low,294.56999604846004,2924.392957343265,0.10072859576165483,0.0399,0.04
Adversity,Normal,2479.7953140464233,2924.392957343265,0.8479692538649979,0.1176,0.1
Affluent,High,199.09985682245056,3808.9953176125177,0.05227096392107055,0.672,0.958
Affluent,Low,380.2902504153983,3808.9953176125177,0.09984004145580432,0.0399,0.04
Affluent,Normal,3229.605210374669,3808.9953176125177,0.8478889946231251,0.1176,0.1
Comfortable,High,170.14176671876004,3350.8507217914307,0.05077569275536062,0.672,0.958
Comfortable,Low,341.62064004824555,3350.8507217914307,0.10195042047877574,0.0399,0.04
Comfortable,Normal,2839.0883150244254,3350.8507217914307,0.8472738867658637,0.1176,0.1
