Year,Electric power consumption (kWh per capita)
1971,14.29692404
1972,15.83485074
1973,15.75667423
1974,19.10974446
1975,21.36217758
1976,18.25736906
1977,21.63765181
1978,31.61748333
1979,38.50218497
1980,45.94502243
1981,52.02182448
1982,61.12917629
1983,65.77215072
1984,71.08889622
1985,79.37068307
1986,91.64262265
1987,103.9198211
1988,119.0474517
1989,136.9439124
1990,161.8578195
1991,177.2161328
1992,193.4891095
1993,211.8680234
1994,238.8003402
1995,262.0165416
1996,295.0284628
1997,328.3812465
1998,327.7180762
1999,352.9909514
2000,385.7573041
2001,406.3792992
2002,412.266143
2003,423.5294457
2004,468.804367
2005,495.1462105
2006,510.5147263
2007,540.3769249
2008,564.1504172
2009,588.1244752
2010,630.298386
2011,674.8207384
2012,728.1833488
2013,769.4967668
2014,808.4189721
2015,910
2016,956
2017,1021
2018,1064
2019,1084
